 Campeonato Brasileiro Série A, Palmeiras, Jailson Marcelino dos Santos, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Keno, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Dudu, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Fernando Prass, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Daniel Fuzato, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Miguel Borja, Colombia
 Campeonato Brasileiro Série A, Palmeiras, Edu Dracena, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Luan Garcia, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Fabiano Leismann, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Willian, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Thiago Martins Bueno, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Arouca, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Raphael Veiga, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Victor Hugo Santana Carvalho, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Jean, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Felipe Melo, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Zé Roberto, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Róger Guedes, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Matheus Felipe Camargo Iacovelli, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Antônio Carlos Cunha Capocasali Júnior, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Moisés Lima Magalhães, Brazil
 Campeonato Brasileiro Série A, Palmeiras, José Carlos Ferreira Júnior, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Mayke, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Hyoran, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Tchê Tchê, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Erik Lima, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Thiago dos Santos, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Gabriel Vinicius de Oliveira Furtado, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Alejandro Guerra, Venezuela
 Campeonato Brasileiro Série A, Palmeiras, Egídio Pereira Júnior, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Yerry Mina, Colombia
 Campeonato Brasileiro Série A, Palmeiras, Vinicius Silvestre da Costa, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Bruno Henrique Corsini, Brazil
 Campeonato Brasileiro Série A, Palmeiras, Michel Bastos, Brazil
 Campeonato Brasileiro Série A, Santos FC, David Braz, Brazil
 Campeonato Brasileiro Série A, Santos FC, Lucas Veríssimo, Brazil
 Campeonato Brasileiro Série A, Santos FC, Matheus Antunes Ribeiro, Brazil
 Campeonato Brasileiro Série A, Santos FC, Rodrigo Gomes dos Santos, Brazil
 Campeonato Brasileiro Série A, Santos FC, Fabián Noguera, Argentina
 Campeonato Brasileiro Série A, Santos FC, João Paulo Silva Martins, Brazil
 Campeonato Brasileiro Série A, Santos FC, Luiz Felipe do Nascimento dos Santos, Brazil
 Campeonato Brasileiro Série A, Santos FC, Rafael Longuine, Brazil
 Campeonato Brasileiro Série A, Santos FC, Léo Cittadini, Brazil
 Campeonato Brasileiro Série A, Santos FC, John Victor, Brazil
 Campeonato Brasileiro Série A, Santos FC, Ricardo Oliveira, Brazil
 Campeonato Brasileiro Série A, Santos FC, Vladimir Orlando Cardoso de Araújo Filho, Brazil
 Campeonato Brasileiro Série A, Santos FC, Alison Lopes Ferreira, Brazil
 Campeonato Brasileiro Série A, Santos FC, Thiago Ribeiro, Brazil
 Campeonato Brasileiro Série A, Santos FC, Daniel Guedes, Brazil
 Campeonato Brasileiro Série A, Santos FC, Vladimir Hernández, Colombia
 Campeonato Brasileiro Série A, Santos FC, Cléber, Brazil
 Campeonato Brasileiro Série A, Santos FC, Arthur Gomes Lourenço, Brazil
 Campeonato Brasileiro Série A, Santos FC, Vitor Bueno, Brazil
 Campeonato Brasileiro Série A, Santos FC, Leandro Donizete, Brazil
 Campeonato Brasileiro Série A, Santos FC, Lucas Lima, Brazil
 Campeonato Brasileiro Série A, Santos FC, Emiliano Vecchio, Argentina
 Campeonato Brasileiro Série A, Santos FC, Thaciano, Brazil
 Campeonato Brasileiro Série A, Santos FC, Matheus Oliveira Santos, Brazil
 Campeonato Brasileiro Série A, Santos FC, Kayke Rodrigues, Brazil
 Campeonato Brasileiro Série A, Santos FC, Thiago Maia, Brazil
 Campeonato Brasileiro Série A, Santos FC, Yuri Oliveira Lima, Brazil
 Campeonato Brasileiro Série A, Santos FC, Jonathan Copete, Colombia
 Campeonato Brasileiro Série A, Santos FC, Yan Oliveira Lima, Brazil
