 LaLiga Santander, Real Madrid, Cristiano Ronaldo, Portugal
 LaLiga Santander, FC Barcelona, Lionel Messi, Argentina
 Bundesliga, FC Bayern München, Manuel Neuer, Germany
 Calcio A, Juventus, Gonzalo Higuaín, Argentina
 LaLiga Santander, FC Barcelona, Luis Suárez, Uruguay
 LaLiga Santander, FC Barcelona, Neymar, Brazil
 Premier League, Chelsea, Eden Hazard, Belgium
 Bundesliga, FC Bayern München, Robert Lewandowski, Poland
 Premier League, Manchester United, Zlatan Ibrahimović, Sweden
 LaLiga Santander, Real Madrid, Luka Modrić, Croatia
 LaLiga Santander, Real Madrid, Sergio Ramos, Spain
 Calcio A, Juventus, Giorgio Chiellini, Italy
 LaLiga Santander, Atlético Madrid, Diego Godín, Uruguay
 LaLiga Santander, Real Madrid, Isco, Spain
 LaLiga Santander, FC Barcelona, Iniesta, Spain
 LaLiga Santander, FC Barcelona, Piqué, Spain
 LaLiga Santander, Real Madrid, Toni Kroos, Germany
 Premier League, Manchester United, De Gea, Spain
 Calcio A, Juventus, Gianluigi Buffon, Italy
 Ligue 1, Paris Saint-Germain, Thiago Silva, Brazil
 LaLiga Santander, Atlético Madrid, Antoine Griezmann, France
 Premier League, Manchester City, Kevin De Bruyne, Belgium
 Premier League, Arsenal, Alexis Sánchez, Chile
 Bundesliga, FC Bayern München, Arjen Robben, Holland
 Bundesliga, Borussia Dortmund, Pierre-Emerick Aubameyang, Gabon
 Bundesliga, FC Bayern München, Thiago, Spain
 Ligue 1, Olympique Lyonnais, Alexandre Lacazette, France
 Calcio A, Napoli, Dries Mertens, Belgium
 Ligue 1, Paris Saint-Germain, Edinson Cavani, Uruguay
 Calcio A, Juventus, Paulo Dybala, Argentina
 Bundesliga, FC Bayern München, Philipp Lahm, Germany
 Premier League, Tottenham Hotspur, Hugo Lloris, France
 LaLiga Santander, Atlético Madrid, Jan Oblak, Slovenia
 Bundesliga, FC Bayern München, Mats Hummels, Germany
 Calcio A, Roma, Radja Nainggolan, Belgium
 Calcio A, Napoli, Marek Hamšik, Slovakia
 Premier League, Chelsea, Diego Costa, Spain
 Ligue 1, Paris Saint-Germain, Marco Verratti, Italy
 Calcio A, Inter, Mauro Icardi, Argentina
 Calcio A, Napoli, Lorenzo Insigne, Italy
 Premier League, Everton, Romelu Lukaku, Belgium
 Premier League, Tottenham Hotspur, Harry Kane, England
 Calcio A, Juventus, Dani Alves, Brazil
 LaLiga Santander, Real Madrid, Marcelo, Brazil
 LaLiga Santander, Atlético Madrid, Filipe Luís, Brazil
 Calcio A, Roma, Edin Džeko, Bosnia and Herzegovina
 LaLiga Santander, Real Madrid, Casemiro, Brazil
 LaLiga Santander, Atlético Madrid, Yannick Carrasco, Belgium
 Liga NOS, SL Benfica, Jonas, Brazil
 Premier League, Tottenham Hotspur, Christian Eriksen, Denmark
 Calcio A, Napoli, Kalidou Koulibaly, Senegal
 Calcio A, Lazio, Ciro Immobile, Italy
 Ligue 1, Olympique de Marseille, Florian Thauvin, France
 Premier League, Manchester United, Paul Pogba, France
 Premier League, Manchester City, Sergio Agüero, Argentina
 Calcio A, Juventus, Alex Sandro, Brazil
 Premier League, Chelsea, David Luiz, Brazil
 Premier League, Chelsea, N'Golo Kanté, France
 Ligue 1, AS Monaco Football Club SA, Falcao, Colombia
