 Premier League, AFC Bournemouth, Aaron Ramsdale, England
 Premier League, AFC Bournemouth, Adam Federici, Australia
 Premier League, AFC Bournemouth, Adam Smith, England
 Premier League, AFC Bournemouth, Andrew Surman, England
 Premier League, AFC Bournemouth, Artur Boruc, Poland
 Premier League, AFC Bournemouth, Baily Cargill, England
 Premier League, AFC Bournemouth, Benik Afobe, Congo DR
 Premier League, AFC Bournemouth, Brad Smith, Australia
 Premier League, AFC Bournemouth, Callum Wilson, England
 Premier League, AFC Bournemouth, Charlie Daniels, England
 Premier League, AFC Bournemouth, Dan Gosling, England
 Premier League, AFC Bournemouth, Harry Arter, Ireland
 Premier League, AFC Bournemouth, Jack Wilshere, England
 Premier League, AFC Bournemouth, Jordon Ibe, England
 Premier League, AFC Bournemouth, Joshua King, Norway
 Premier League, AFC Bournemouth, Junior Stanislas, England
 Premier League, AFC Bournemouth, Lewis Cook, England
 Premier League, AFC Bournemouth, Lys Mousset, France
 Premier League, AFC Bournemouth, Marc Pugh, England
 Premier League, AFC Bournemouth, Max Gradel, Cote d'Ivoire
 Premier League, AFC Bournemouth, Rhoys Wiggins, Wales
 Premier League, AFC Bournemouth, Ryan Allsop, England
 Premier League, AFC Bournemouth, Ryan Fraser, Scotland
 Premier League, AFC Bournemouth, Simon Francis, England
 Premier League, AFC Bournemouth, Steve Cook, England
 Premier League, AFC Bournemouth, Tyrone Mings, England
 Premier League, Arsenal FC, Aaron Ramsey, Wales
 Premier League, Arsenal FC, Alex Iwobi, Nigeria
 Premier League, Arsenal FC, Alex Oxlade-Chamberlain, England
 Premier League, Arsenal FC, Alexis Sánchez, Chile
 Premier League, Arsenal FC, Carl Jenkinson, England
 Premier League, Arsenal FC, Danny Welbeck, England
 Premier League, Arsenal FC, David Ospina, Colombia
 Premier League, Arsenal FC, Emiliano Martínez, Argentina
 Premier League, Arsenal FC, Francis Coquelin, France
 Premier League, Arsenal FC, Gabriel Paulista, Brazil
 Premier League, Arsenal FC, Granit Xhaka, Switzerland
 Premier League, Arsenal FC, Héctor Bellerín, Spain
 Premier League, Arsenal FC, Kieran Gibbs, England
 Premier League, Arsenal FC, Laurent Koscielny, France
 Premier League, Arsenal FC, Lucas Pérez, Spain
 Premier League, Arsenal FC, Mathieu Debuchy, France
 Premier League, Arsenal FC, Matt Macey, England
 Premier League, Arsenal FC, Mesut Özil, Germany
 Premier League, Arsenal FC, Mohamed Elneny, Egypt
 Premier League, Arsenal FC, Nacho Monreal, Spain
 Premier League, Arsenal FC, Olivier Giroud, France
 Premier League, Arsenal FC, Per Mertesacker, Germany
 Premier League, Arsenal FC, Petr Cech, Czech Republic
 Premier League, Arsenal FC, Rob Holding, England
 Premier League, Arsenal FC, Santi Cazorla, Spain
 Premier League, Arsenal FC, Shkodran Mustafi, Germany
 Premier League, Arsenal FC, Theo Walcott, England
 Premier League, Arsenal FC, Yaya Sanogo, France
 Premier League, Burnley FC, Andre Gray, England
 Premier League, Burnley FC, Ashley Barnes, England
 Premier League, Burnley FC, Ashley Westwood, England
 Premier League, Burnley FC, Ben Mee, England
 Premier League, Burnley FC, Dean Marney, England
 Premier League, Burnley FC, George Boyd, Scotland
 Premier League, Burnley FC, James Tarkowski, England
 Premier League, Burnley FC, Jeff Hendrick, Ireland
 Premier League, Burnley FC, Johann Berg Gudmundsson, Iceland
 Premier League, Burnley FC, Jon Flanagan, England
 Premier League, Burnley FC, Kevin Long, Ireland
 Premier League, Burnley FC, Matthew Lowton, England
 Premier League, Burnley FC, Michael Keane, England
 Premier League, Burnley FC, Nick Pope, England
 Premier League, Burnley FC, Paul Robinson, England
 Premier League, Burnley FC, Robbie Brady, Ireland
 Premier League, Burnley FC, Sam Vokes, Wales
 Premier League, Burnley FC, Scott Arfield, Canada
 Premier League, Burnley FC, Stephen Ward, Ireland
 Premier League, Burnley FC, Steven Defour, Belgium
 Premier League, Burnley FC, Tendayi Darikwa, England
 Premier League, Burnley FC, Tom Heaton, England
 Premier League, Chelsea FC, Asmir Begovic, Bosnia-Herzegovina
 Premier League, Chelsea FC, Cesc Fàbregas, Spain
 Premier League, Chelsea FC, Charly Musonda Jr., Belgium
 Premier League, Chelsea FC, César Azpilicueta, Spain
 Premier League, Chelsea FC, David Luiz, Brazil
