 Major League Soccer, Atlanta United FC, Héctor Villalba, Argentina
 Major League Soccer, Atlanta United FC, Andrew Wheeler-Omiunu, United States
 Major League Soccer, Atlanta United FC, Josef Martínez, Venezuela
 Major League Soccer, Atlanta United FC, Brad Guzan, United States
 Major League Soccer, Atlanta United FC, Kenwyne Jones, Trinidad and Tobago
 Major League Soccer, Atlanta United FC, Michael Parkhurst, United States
 Major League Soccer, Atlanta United FC, Carlos Carmona, Chile
 Major League Soccer, Atlanta United FC, Julian Gressel, Germany
 Major League Soccer, Atlanta United FC, Andrew Carleton, United States
 Major League Soccer, Atlanta United FC, Kyle Reynish, United States
 Major League Soccer, Atlanta United FC, Leandro González Pirez, Argentina
 Major League Soccer, Atlanta United FC, Mark Bloom, United States
 Major League Soccer, Atlanta United FC, Alexandros Tabakis, Greece
 Major League Soccer, Atlanta United FC, Tyrone Mears, England
 Major League Soccer, Atlanta United FC, Bryan Róchez, Honduras
 Major League Soccer, Atlanta United FC, Yamil Asad, Argentina
 Major League Soccer, Atlanta United FC, Alec Kann, United States
 Major League Soccer, Atlanta United FC, Anton Walkes, England
 Major League Soccer, Atlanta United FC, Miguel Almirón, Paraguay
 Major League Soccer, Atlanta United FC, Greg Garza, United States
 Major League Soccer, Atlanta United FC, Harrison Heath, England
 Major League Soccer, Atlanta United FC, Jacob Peterson, United States
 Major League Soccer, Atlanta United FC, Kevin Kratz, Germany
 Major League Soccer, Atlanta United FC, Jeff Larentowicz, United States
 Major League Soccer, Atlanta United FC, Mikey Ambrose, United States
 Major League Soccer, Atlanta United FC, Jeffrey Otoo, Ghana
 Major League Soccer, Atlanta United FC, Brandon Vazquez, United States
 Major League Soccer, Atlanta United FC, Miles Robinson, United States
 Major League Soccer, Atlanta United FC, Zach Loyd, United States
 Major League Soccer, Atlanta United FC, Romario Williams, Jamaica
 Major League Soccer, Atlanta United FC, Chris Goslin, United States
 Major League Soccer, Atlanta United FC, Chris McCann, Ireland
 Major League Soccer, Chicago Fire Soccer Club, Drew Conner, United States
 Major League Soccer, Chicago Fire Soccer Club, Matt Polster, United States
 Major League Soccer, Chicago Fire Soccer Club, Jonathan Campbell, United States
 Major League Soccer, Chicago Fire Soccer Club, Bastian Schweinsteiger, Germany
 Major League Soccer, Chicago Fire Soccer Club, Johan Kappelhof, Netherlands
 Major League Soccer, Chicago Fire Soccer Club, Patrick Doody, United States
 Major League Soccer, Chicago Fire Soccer Club, Nemanja Nikoli?, Hungary
 Major League Soccer, Chicago Fire Soccer Club, David Accam, Ghana
 Major League Soccer, Chicago Fire Soccer Club, Djordje Mihailovic, United States
 Major League Soccer, Chicago Fire Soccer Club, John Goossens, Netherlands
 Major League Soccer, Chicago Fire Soccer Club, Jorge Bava, Uruguay
