 Alka Superliga, AC Horsens, André Bjerregaard, Denmark
 Alka Superliga, AC Horsens, Bubacarr Sanneh, Gambia
 Alka Superliga, AC Horsens, Conor O'Brien, United States
 Alka Superliga, AC Horsens, Delphin Tshiembe, Congo DR
 Alka Superliga, AC Horsens, Frederik Møller, Denmark
 Alka Superliga, AC Horsens, Hállur Hánsson, Faroe Islands
 Alka Superliga, AC Horsens, Jacob Berthelsen, Denmark
 Alka Superliga, AC Horsens, Jeppe Mehl, Denmark
 Alka Superliga, AC Horsens, Jonas Gemmer, Denmark
 Alka Superliga, AC Horsens, Joseph Mensah, Ghana
 Alka Superliga, AC Horsens, Kim Aabech, Denmark
 Alka Superliga, AC Horsens, Kjartan Finnbogason, Iceland
 Alka Superliga, AC Horsens, Lasse Kryger, Denmark
 Alka Superliga, AC Horsens, Mads Bech Sørensen, Denmark
 Alka Superliga, AC Horsens, Marcus Bobjerg, Denmark
 Alka Superliga, AC Horsens, Mathias Nielsen, Denmark
 Alka Superliga, AC Horsens, Mikkel Jespersen, Denmark
 Alka Superliga, AC Horsens, Nicklas Dannevang, Denmark
 Alka Superliga, AC Horsens, Peter Nymann, Denmark
 Alka Superliga, AC Horsens, Steve Clark, United States
 Alka Superliga, AC Horsens, Thomas Kortegaard, Denmark
 Alka Superliga, Aalborg BK, Bradhec Bytyqi, Denmark
 Alka Superliga, Aalborg BK, Carsten Christensen, Denmark
 Alka Superliga, Aalborg BK, Casper Sloth, Denmark
 Alka Superliga, Aalborg BK, Edison Flores, Peru
 Alka Superliga, Aalborg BK, Frederik Børsting, Denmark
 Alka Superliga, Aalborg BK, Jakob Ahlmann, Denmark
 Alka Superliga, Aalborg BK, Jakob Blåbjerg, Denmark
 Alka Superliga, Aalborg BK, Jakub Sylvestr, Slovakia
 Alka Superliga, Aalborg BK, Jannik Pohl, Denmark
 Alka Superliga, Aalborg BK, Joakim Mæhle, Denmark
 Alka Superliga, Aalborg BK, Kasper Pedersen, Denmark
 Alka Superliga, Aalborg BK, Kasper Risgård, Denmark
 Alka Superliga, Aalborg BK, Magnus Christensen, Denmark
 Alka Superliga, Aalborg BK, Marco Meilinger, Austria
 Alka Superliga, Aalborg BK, Markus Holgersson, Sweden
 Alka Superliga, Aalborg BK, Morten Rokkedal, Denmark
 Alka Superliga, Aalborg BK, Nicolai Larsen, Denmark
 Alka Superliga, Aalborg BK, Oliver Abildgaard, Denmark
 Alka Superliga, Aalborg BK, Patrick Kristensen, Denmark
 Alka Superliga, Aalborg BK, Rasmus Thellufsen, Denmark
 Alka Superliga, Aalborg BK, Rasmus Würtz, Denmark
 Alka Superliga, Aalborg BK, Sebastian Grønning, Denmark
 Alka Superliga, Aalborg BK, Thomas Enevoldsen, Denmark
 Alka Superliga, Aarhus GF, Aleksandar Jovanović, Serbia
 Alka Superliga, Aarhus GF, Alexander Juel Andersen, Denmark
 Alka Superliga, Aarhus GF, Anthony J Soares, United States
 Alka Superliga, Aarhus GF, Björn Daniel Sverrisson, Iceland
 Alka Superliga, Aarhus GF, Christopher Oikonomidis, Australia
 Alka Superliga, Aarhus GF, Daniel Pedersen, Denmark
 Alka Superliga, Aarhus GF, Danny Olsen, Denmark
 Alka Superliga, Aarhus GF, Dino Mikanović, Croatia
 Alka Superliga, Aarhus GF, Dzhamaldin Khodzhaniyazov, Russia
 Alka Superliga, Aarhus GF, Elmar Bjarnason, Iceland
 Alka Superliga, Aarhus GF, Emil Christensen, Denmark
 Alka Superliga, Aarhus GF, Jacob Florin Torp, Denmark
 Alka Superliga, Aarhus GF, Jens Stage, Denmark
 Alka Superliga, Aarhus GF, Jesper Juelsgård, Denmark
 Alka Superliga, Aarhus GF, Kasper Junker, Denmark
 Alka Superliga, Aarhus GF, Lee Baxter, Sweden
 Alka Superliga, Aarhus GF, Martin Spelmann, Denmark
 Alka Superliga, Aarhus GF, Michael Zacho, Denmark
 Alka Superliga, Aarhus GF, Morten Rasmussen, Denmark
 Alka Superliga, Aarhus GF, Mustafa Amini, Australia
 Alka Superliga, Aarhus GF, Niklas Backman, Sweden
 Alka Superliga, Aarhus GF, Oskar Buur, Denmark
 Alka Superliga, Aarhus GF, Steffen Rasmussen, Denmark
 Alka Superliga, Aarhus GF, Stephan Petersen, Denmark
 Alka Superliga, Aarhus GF, Thomas Hagelskjaer, Denmark
 Alka Superliga, Brøndby IF, Ariel Núñez, Paraguay
 Alka Superliga, Brøndby IF, Benedikt Röcker, Germany
 Alka Superliga, Brøndby IF, Christian Nørgaard, Denmark
 Alka Superliga, Brøndby IF, Daniel Stückler, Denmark
 Alka Superliga, Brøndby IF, Frederik Holst, Denmark
 Alka Superliga, Brøndby IF, Frederik Rønnow, Denmark
 Alka Superliga, Brøndby IF, Gustaf Nilsson, Sweden
 Alka Superliga, Brøndby IF, Hany Mukhtar, Germany
 Alka Superliga, Brøndby IF, Hjörtur Hermannsson, Iceland
 Alka Superliga, Brøndby IF, Jan Kliment, Czech Republic
 Alka Superliga, Brøndby IF, Johan Larsson, Sweden
 Alka Superliga, Brøndby IF, Kamil Wilczek, Poland
 Alka Superliga, Brøndby IF, Lebogang Phiri, South Africa
 Alka Superliga, Brøndby IF, Mads Toppel, Denmark
 Alka Superliga, Brøndby IF, Martin Albrechtsen, Denmark
 Alka Superliga, Brøndby IF, Rezan Corlu, Denmark
 Alka Superliga, Brøndby IF, Rodolph Austin, Jamaica
 Alka Superliga, Brøndby IF, Svenn Crone, Denmark
 Alka Superliga, Brøndby IF, Teemu Pukki, Finland
 Alka Superliga, Brøndby IF, Thomas Kahlenberg, Denmark
 Alka Superliga, Brøndby IF, Viktor Anker, Denmark
 Alka Superliga, Esbjerg fB, Andreas Nordvik, Norway
 Alka Superliga, Esbjerg fB, Awer Mabil, Australia
 Alka Superliga, Esbjerg fB, Brent McGrath, Australia
 Alka Superliga, Esbjerg fB, Casper Nielsen, Denmark
 Alka Superliga, Esbjerg fB, Daniel Anyembe, Denmark
 Alka Superliga, Esbjerg fB, Daniel Stenderup, Denmark
 Alka Superliga, Esbjerg fB, Jeppe Andersen, Denmark
 Alka Superliga, Esbjerg fB, Jeppe Brinch, Denmark
 Alka Superliga, Esbjerg fB, Jeppe Højbjerg, Denmark
 Alka Superliga, Esbjerg fB, Jesper Jørgensen, Denmark
 Alka Superliga, Esbjerg fB, Jesper Lauridsen, Denmark
 Alka Superliga, Esbjerg fB, Jonas Jensen, Denmark
 Alka Superliga, Esbjerg fB, Kevin Mensah, Denmark
 Alka Superliga, Esbjerg fB, Lasse Mikkelsen, Denmark
 Alka Superliga, Esbjerg fB, Leon Jessen, Denmark
 Alka Superliga, Esbjerg fB, Mads Hvilsom, Denmark
 Alka Superliga, Esbjerg fB, Marco Lund, Denmark
 Alka Superliga, Esbjerg fB, Mark Brink, Denmark
 Alka Superliga, Esbjerg fB, Mathias Kristensen, Denmark
 Alka Superliga, Esbjerg fB, Nikolaj Hagelskjær, Denmark
 Alka Superliga, Esbjerg fB, Robin Söder, Sweden
 Alka Superliga, Esbjerg fB, Victor Pálsson, Iceland
 Alka Superliga, FC København, Aboubakar Keita, Côte d'Ivoire
 Calcio A, Atalanta, Andreas Cornelius, Denmark
 Alka Superliga, FC København, Andrija Pavlović, Serbia
 Alka Superliga, FC København, Benjamin Verbič, Slovenia
 Alka Superliga, FC København, Danny Amankwaa, Denmark
 Alka Superliga, FC København, Erik Johansson, Sweden
 Alka Superliga, FC København, Federico Santander, Paraguay
 Alka Superliga, FC København, Frederik Bay, Denmark
 Alka Superliga, FC København, Jores Okore, Denmark
 Alka Superliga, FC København, Ján Greguš, Slovakia
 Alka Superliga, FC København, Kasper Kusk, Denmark
 Alka Superliga, FC København, Kim Christensen, Denmark
 Bundesliga, SV Werder Bremen, Ludwig Augustinsson, Sweden
 EFL Championship, Huddersfield Town, Mathias Jørgensen, Denmark
